accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
MN075150	E.6	II-ECSA		Indian Ocean Lineage
MN075149	E.6	II-ECSA		Indian Ocean Lineage
MN974221	E.6	II-ECSA	ECSA	Indian Ocean Lineage
PP626397	E.6	II-ECSA		
PP193842	E.6	II-ECSA		
PP193839	E.6	II-ECSA		
PP193840	E.6	II-ECSA		
PP193841	E.6	II-ECSA		
PP193838	E.6	II-ECSA		
LC580262	E.6	II-ECSA		Indian Ocean Lineage
OL979156	E.6	II-ECSA		Indian Ocean Lineage
OL979155	E.6	II-ECSA		Indian Ocean Lineage
OL893107	E.6	II-ECSA		Indian Ocean Lineage
OL979157	E.6	II-ECSA		Indian Ocean Lineage
OL893105	E.6	II-ECSA		Indian Ocean Lineage
OL979154	E.6	II-ECSA		Indian Ocean Lineage
OL979153	E.6	II-ECSA		Indian Ocean Lineage
OL741630	E.6	II-ECSA		Indian Ocean Lineage
OL705486	E.6	II-ECSA		Indian Ocean Lineage
PV022123	E.6	II-ECSA	ECSA	
PV022120	E.6	II-ECSA	ECSA	
PQ637683	E.6	II-ECSA		
PQ637677	E.6	II-ECSA		
ON262795	E.6	II-ECSA	ECSA	
PP626398	E.6	II-ECSA		
LC580269	E.6	II-ECSA		Indian Ocean Lineage
OL999095	E.6	II-ECSA		Indian Ocean Lineage
OL999094	E.6	II-ECSA		Indian Ocean Lineage
OL999092	E.6	II-ECSA		Indian Ocean Lineage
OL999091	E.6	II-ECSA		Indian Ocean Lineage
OL999093	E.6	II-ECSA		Indian Ocean Lineage
OL849991	E.6	II-ECSA		Indian Ocean Lineage
OL893106	E.6	II-ECSA		Indian Ocean Lineage
OL849990	E.6	II-ECSA		Indian Ocean Lineage
OL589270	E.6	II-ECSA		Indian Ocean Lineage
LC664159	E.6	II-ECSA		Indian Ocean Lineage
LC664158	E.6	II-ECSA		Indian Ocean Lineage
PQ637682	E.6	II-ECSA		
PQ637684	E.6	II-ECSA		
PQ637681	E.6	II-ECSA		
MW349426	E.6	II-ECSA		Indian Ocean Lineage
PQ637679	E.6	II-ECSA		
PQ637674	E.6	II-ECSA		
PP236109	E.6	II-ECSA	ECSA-IOL	
PP236108	E.6	II-ECSA	ECSA-IOL	
PP236110	E.6	II-ECSA	ECSA-IOL	
PP236107	E.6	II-ECSA	ECSA-IOL	
PP236106	E.6	II-ECSA	ECSA-IOL	
PP236105	E.6	II-ECSA	ECSA-IOL	
OR412348	E.6	II-ECSA	East/Central/South African	
OR412347	E.6	II-ECSA	East/Central/South African	
MW557661	E.6	II-ECSA		Indian Ocean Lineage
MW557660	E.6	II-ECSA		Indian Ocean Lineage
PX569504	E.6	II-ECSA	ECSA-IOL	
PX569503	E.6	II-ECSA	ECSA-IOL	
PX569502	E.6	II-ECSA	ECSA-IOL	
PX569501	E.6	II-ECSA	ECSA-IOL	
MN974224	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468608	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468619	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580243	E.6	II-ECSA		Indian Ocean Lineage
LC580254	E.6	II-ECSA		Indian Ocean Lineage
OR037305	E.6	II-ECSA		
MF773566	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MH400249	E.6	II-ECSA		Indian Ocean Lineage
MK468627	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468620	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468615	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580253	E.6	II-ECSA		Indian Ocean Lineage
MK468621	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468617	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580252	E.6	II-ECSA		Indian Ocean Lineage
LC580245	E.6	II-ECSA		Indian Ocean Lineage
MK468622	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468616	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468613	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468610	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580255	E.6	II-ECSA		Indian Ocean Lineage
LC580250	E.6	II-ECSA		Indian Ocean Lineage
MK468618	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580248	E.6	II-ECSA		Indian Ocean Lineage
LC580242	E.6	II-ECSA		Indian Ocean Lineage
LC580241	E.6	II-ECSA		Indian Ocean Lineage
LC580238	E.6	II-ECSA		Indian Ocean Lineage
MH647208	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580239	E.6	II-ECSA		Indian Ocean Lineage
MK468614	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468626	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468612	E.6	II-ECSA	ECSA	Indian Ocean Lineage
MK468609	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580251	E.6	II-ECSA		Indian Ocean Lineage
MG912993	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580246	E.6	II-ECSA		Indian Ocean Lineage
LC580247	E.6	II-ECSA		Indian Ocean Lineage
LC580244	E.6	II-ECSA		Indian Ocean Lineage
MT123010	E.6	II-ECSA		Indian Ocean Lineage
MT123009	E.6	II-ECSA		Indian Ocean Lineage
MT123008	E.6	II-ECSA		Indian Ocean Lineage
MK468611	E.6	II-ECSA	ECSA	Indian Ocean Lineage
LC580249	E.6	II-ECSA		Indian Ocean Lineage
LC580237	E.6	II-ECSA		Indian Ocean Lineage
LC580236	E.6	II-ECSA		Indian Ocean Lineage
LC580240	E.6	II-ECSA		Indian Ocean Lineage
MK120198	E.6.1	II-ECSA		Indian Ocean Lineage
MK120197	E.6.1	II-ECSA		Indian Ocean Lineage
MK120200	E.6.1	II-ECSA		Indian Ocean Lineage
MK120199	E.6.1	II-ECSA		Indian Ocean Lineage
MK120196	E.6.1	II-ECSA		Indian Ocean Lineage
MK120195	E.6.1	II-ECSA		Indian Ocean Lineage
MK120194	E.6.1	II-ECSA		Indian Ocean Lineage
MG049915	E.6.1	II-ECSA		Indian Ocean Lineage
MH507158	E.6.1	II-ECSA		Indian Ocean Lineage
MH754507	E.6.1	II-ECSA	ECSA	Indian Ocean Lineage
LC259094	F	II-ECSA		Middle African Lineage
MT636916	F	II-ECSA	ECSA	Middle African Lineage
MT636915	F	II-ECSA	ECSA	Middle African Lineage
MT636914	F	II-ECSA	ECSA	Middle African Lineage
MT636913	F	II-ECSA	ECSA	Middle African Lineage
MT636912	F	II-ECSA	ECSA	Middle African Lineage
MT636919	F	II-ECSA	ECSA	Middle African Lineage
MT636921	F	II-ECSA	ECSA	Middle African Lineage
MT636922	F	II-ECSA	ECSA	Middle African Lineage
MT636920	F	II-ECSA	ECSA	Middle African Lineage
MT636918	F	II-ECSA	ECSA	Middle African Lineage
MT636917	F	II-ECSA	ECSA	Middle African Lineage
MT636911	F	II-ECSA	ECSA	Middle African Lineage
MT636909	F	II-ECSA	ECSA	Middle African Lineage
MT636908	F	II-ECSA	ECSA	Middle African Lineage
MT636910	F	II-ECSA	ECSA	Middle African Lineage
MT636907	F	II-ECSA	ECSA	Middle African Lineage
MK935344	F	II-ECSA	ECSA	Middle African Lineage
MK690206	F	II-ECSA		Middle African Lineage
MK935343	F	II-ECSA	ECSA	Middle African Lineage
OR037306	F	II-ECSA		
MT666072	G	II-ECSA		Middle African Lineage
MT666071	G	II-ECSA		Middle African Lineage
MW281311	G	II-ECSA	ECSA	Middle African Lineage
MT666073	G	II-ECSA		Middle African Lineage
PV593524	G	II-ECSA		
PV685648	G	II-ECSA		
PV685647	G	II-ECSA		
PV685640	G	II-ECSA		
PV685589	G	II-ECSA		
PV685588	G	II-ECSA		
PV685675	G	II-ECSA		
PV685674	G	II-ECSA		
PV685673	G	II-ECSA		
PV685663	G	II-ECSA		
PV685641	G	II-ECSA		
PV685639	G	II-ECSA		
PV685571	G	II-ECSA		
PV685522	G	II-ECSA		
PV685702	G	II-ECSA		
PV685643	G	II-ECSA		
PV685644	G	II-ECSA		
PV685642	G	II-ECSA		
PV700173	G	II-ECSA	ECSA	
PV685580	G	II-ECSA		
PV685579	G	II-ECSA		
PV685577	G	II-ECSA		
PV685578	G	II-ECSA		
PV685576	G	II-ECSA		
PV685669	G	II-ECSA		
PV685532	G	II-ECSA		
PV685526	G	II-ECSA		
PV700174	G	II-ECSA	ECSA	
PV700175	G	II-ECSA	ECSA	
PV685657	G	II-ECSA		
PV685655	G	II-ECSA		
PV685656	G	II-ECSA		
PV685654	G	II-ECSA		
PV700162	G	II-ECSA	ECSA	
PV685637	G	II-ECSA		
PV685666	G	II-ECSA		
PV685658	G	II-ECSA		
PV685653	G	II-ECSA		
PV685677	G	II-ECSA		
PV685676	G	II-ECSA		
PV685652	G	II-ECSA		
PV685694	G	II-ECSA		
PV685650	G	II-ECSA		
PV685651	G	II-ECSA		
PV685649	G	II-ECSA		
PV685638	G	II-ECSA		
PV685636	G	II-ECSA		
PV685635	G	II-ECSA		
PV685595	G	II-ECSA		
PV685601	G	II-ECSA		
PV685634	G	II-ECSA		
PV685598	G	II-ECSA		
PV685619	G	II-ECSA		
PV685687	G	II-ECSA		
PV685631	G	II-ECSA		
PV685609	G	II-ECSA		
PV685686	G	II-ECSA		
PV685618	G	II-ECSA		
PV685603	G	II-ECSA		
PV685616	G	II-ECSA		
PV685623	G	II-ECSA		
PV685612	G	II-ECSA		
PV685605	G	II-ECSA		
PV685625	G	II-ECSA		
PV685608	G	II-ECSA		
PV685606	G	II-ECSA		
PV685682	G	II-ECSA		
PV685621	G	II-ECSA		
PV685611	G	II-ECSA		
PV685632	G	II-ECSA		
PV685617	G	II-ECSA		
PV685685	G	II-ECSA		
PV685628	G	II-ECSA		
PV685680	G	II-ECSA		
PV685596	G	II-ECSA		
PV685633	G	II-ECSA		
PV035814	G	II-ECSA		
PV685624	G	II-ECSA		
PV685599	G	II-ECSA		
PV685607	G	II-ECSA		
PV685626	G	II-ECSA		
PV685600	G	II-ECSA		
PV685602	G	II-ECSA		
PV685613	G	II-ECSA		
PV685597	G	II-ECSA		
PV685614	G	II-ECSA		
PV685620	G	II-ECSA		
PV685684	G	II-ECSA		
PV685604	G	II-ECSA		
PV685681	G	II-ECSA		
PV685610	G	II-ECSA		
PV685629	G	II-ECSA		
PV685615	G	II-ECSA		
PV685627	G	II-ECSA		
PV685679	G	II-ECSA		
PV685630	G	II-ECSA		
PV685622	G	II-ECSA		
PV685594	G	II-ECSA		
PV685672	G	II-ECSA		
PV685581	G	II-ECSA		
PV685525	G	II-ECSA		
PV685704	G	II-ECSA		
PV685646	G	II-ECSA		
PV685645	G	II-ECSA		
PV700167	G	II-ECSA	ECSA	
PV700166	G	II-ECSA	ECSA	
PV700161	G	II-ECSA	ECSA	
PV685701	G	II-ECSA		
PV685700	G	II-ECSA		
PV685692	G	II-ECSA		
PV685691	G	II-ECSA		
PV685678	G	II-ECSA		
PV685668	G	II-ECSA		
PV685667	G	II-ECSA		
PV685593	G	II-ECSA		
PV685590	G	II-ECSA		
PV685587	G	II-ECSA		
PV685586	G	II-ECSA		
PV685585	G	II-ECSA		
PV685671	G	II-ECSA		
PV685670	G	II-ECSA		
PV685583	G	II-ECSA		
PV685584	G	II-ECSA		
PV685582	G	II-ECSA		
PV685575	G	II-ECSA		
PV685574	G	II-ECSA		
PV685573	G	II-ECSA		
PV685572	G	II-ECSA		
PV685530	G	II-ECSA		
PV685529	G	II-ECSA		
PV685527	G	II-ECSA		
PV685556	G	II-ECSA		
PV685541	G	II-ECSA		
PV685535	G	II-ECSA		
PV685542	G	II-ECSA		
PV685553	G	II-ECSA		
PV685540	G	II-ECSA		
PV685557	G	II-ECSA		
PV685558	G	II-ECSA		
PV685536	G	II-ECSA		
PV685546	G	II-ECSA		
PV685534	G	II-ECSA		
PV685537	G	II-ECSA		
PV685555	G	II-ECSA		
PV685543	G	II-ECSA		
PV685539	G	II-ECSA		
PV685554	G	II-ECSA		
PV685547	G	II-ECSA		
PV685688	G	II-ECSA		
PV685552	G	II-ECSA		
PV685545	G	II-ECSA		
PV685549	G	II-ECSA		
PV685538	G	II-ECSA		
PV685551	G	II-ECSA		
PV685690	G	II-ECSA		
PV685548	G	II-ECSA		
PV685559	G	II-ECSA		
PV685550	G	II-ECSA		
PV685689	G	II-ECSA		
PV685544	G	II-ECSA		
PV685560	G	II-ECSA		
PV685524	G	II-ECSA		
PV700165	G	II-ECSA	ECSA	
PV685693	G	II-ECSA		
PV685533	G	II-ECSA		
PV700163	G	II-ECSA	ECSA	
PV700160	G	II-ECSA	ECSA	
PV685699	G	II-ECSA		
PV685698	G	II-ECSA		
PV685706	G	II-ECSA		
PV685705	G	II-ECSA		
PV685697	G	II-ECSA		
PV685696	G	II-ECSA		
PV685570	G	II-ECSA		
PV685569	G	II-ECSA		
PV685568	G	II-ECSA		
PV685562	G	II-ECSA		
PV685564	G	II-ECSA		
PV685563	G	II-ECSA		
PV685565	G	II-ECSA		
PV685567	G	II-ECSA		
PV685566	G	II-ECSA		
PV685695	G	II-ECSA		
PV685561	G	II-ECSA		
PV685591	G	II-ECSA		
PV685592	G	II-ECSA		
PV685528	G	II-ECSA		
PV685703	G	II-ECSA		
PV685665	G	II-ECSA		
PV685664	G	II-ECSA		
PV685662	G	II-ECSA		
PV685531	G	II-ECSA		
PV685659	G	II-ECSA		
PV685660	G	II-ECSA		
PV685661	G	II-ECSA		
PV685523	G	II-ECSA		
PX216394	G.1	II-ECSA		
PX216392	G.1	II-ECSA		
PX216391	G.1	II-ECSA		
PX236193	G.1	II-ECSA	ECSA-iol	
PX236192	G.1	II-ECSA	ECSA-iol	
PX236189	G.1	II-ECSA	ECSA-iol	
PX399443	G.1	II-ECSA	ECSA-iol	
PX236191	G.1	II-ECSA	ECSA-iol	
PX236190	G.1	II-ECSA	ECSA-iol	
PX399442	G.1	II-ECSA	ECSA-iol	
PX399441	G.1	II-ECSA	ECSA-iol	
PX399444	G.1	II-ECSA	ECSA-iol	
PX399440	G.1	II-ECSA	ECSA-iol	
PX308587	G.1	II-ECSA		
PX308586	G.1	II-ECSA		
PX308584	G.1	II-ECSA		
PX308578	G.1	II-ECSA		
PX308577	G.1	II-ECSA		
PX308575	G.1	II-ECSA		
PX308572	G.1	II-ECSA		
PX308571	G.1	II-ECSA		
PX308570	G.1	II-ECSA		
PX216393	G.1	II-ECSA		
PX308585	G.1	II-ECSA		
PX308582	G.1	II-ECSA		
PX308579	G.1	II-ECSA		
PX308576	G.1	II-ECSA		
PX308574	G.1	II-ECSA		
PX308581	G.1	II-ECSA		
PX308580	G.1	II-ECSA		
PX308583	G.1	II-ECSA		
PX308573	G.1	II-ECSA		
PX308569	G.1	II-ECSA		
ON023499	H	II-ECSA	East-Central-South-Africa	
ON023492	H	II-ECSA	East-Central-South-Africa	
ON023500	H	II-ECSA	East-Central-South-Africa	
ON023494	H	II-ECSA	East-Central-South-Africa	
ON023496	H	II-ECSA	East-Central-South-Africa	
ON023497	H	II-ECSA	East-Central-South-Africa	
ON023491	H	II-ECSA	East-Central-South-Africa	
ON023489	H	II-ECSA	East-Central-South-Africa	
ON023488	H	II-ECSA	East-Central-South-Africa	
MK159126	H	II-ECSA		
MK159125	H	II-ECSA		
MK159127	H	II-ECSA		
MK159124	H	II-ECSA		
MK159123	H	II-ECSA		
MN783353	H	II-ECSA	ECSA	South American Lineage
PP336995	H	II-ECSA	East-Central-South-African	
OQ148649	H	II-ECSA	ECSA	
OQ148646	H	II-ECSA	ECSA	
MK993757	H	II-ECSA	ECSA	South American Lineage
MK993756	H	II-ECSA	ECSA	South American Lineage
MK993755	H	II-ECSA	ECSA	
OQ148650	H	II-ECSA	ECSA	
OQ148647	H	II-ECSA	ECSA	
OQ148644	H	II-ECSA	ECSA	
OQ148641	H	II-ECSA	ECSA	
OQ148645	H	II-ECSA	ECSA	
OQ148643	H	II-ECSA	ECSA	
OQ148640	H	II-ECSA	ECSA	
OQ148642	H	II-ECSA	ECSA	
OQ148633	H	II-ECSA	ECSA	
PP336981	H	II-ECSA	East-Central-South-African	
MT877211	H	II-ECSA		
PP336990	H	II-ECSA	East-Central-South-African	
PP336988	H	II-ECSA	East-Central-South-African	
PP336982	H	II-ECSA	East-Central-South-African	
PP336980	H	II-ECSA	East-Central-South-African	
PP336979	H	II-ECSA	East-Central-South-African	
MT877208	H	II-ECSA		
PP336978	H	II-ECSA	East-Central-South-African	
PP336975	H	II-ECSA	East-Central-South-African	
PP336977	H	II-ECSA	East-Central-South-African	
PP336976	H	II-ECSA	East-Central-South-African	
PP336974	H	II-ECSA	East-Central-South-African	
PP336973	H	II-ECSA	East-Central-South-African	
MH000703	H	II-ECSA	ECSA	South American Lineage
MH000702	H	II-ECSA	ECSA	South American Lineage
MH000701	H	II-ECSA	ECSA	
KX228391	H	II-ECSA		South American Lineage
MH000706	H	II-ECSA	ECSA	South American Lineage
MH000705	H	II-ECSA	ECSA	South American Lineage
MH000704	H	II-ECSA	ECSA	South American Lineage
MH000700	H	II-ECSA	ECSA	South American Lineage
OQ148648	H	II-ECSA	ECSA	
PP337011	H	II-ECSA	East-Central-South-African	
PP337002	H	II-ECSA	East-Central-South-African	
PP336997	H	II-ECSA	East-Central-South-African	
PP336993	H	II-ECSA	East-Central-South-African	
PP336992	H	II-ECSA	East-Central-South-African	
MN783352	H	II-ECSA	ECSA	South American Lineage
PP337003	H	II-ECSA	East-Central-South-African	
MK121907	H	II-ECSA		South American Lineage
MK121906	H	II-ECSA		South American Lineage
MK121903	H	II-ECSA		South American Lineage
MK121899	H	II-ECSA		
MK121908	H	II-ECSA		South American Lineage
MK121904	H	II-ECSA		South American Lineage
MK121898	H	II-ECSA		
MK121902	H	II-ECSA		
MK121900	H	II-ECSA		
MK121896	H	II-ECSA		
KY704955	H	II-ECSA	ECSA	South American Lineage
MG000876	H	II-ECSA	ECSA	South American Lineage
MG000875	H	II-ECSA	ECSA	South American Lineage
PP319440	H	II-ECSA		
PP319439	H	II-ECSA		
OQ148638	H	II-ECSA	ECSA	
KY704954	H	II-ECSA	ECSA	South American Lineage
OP312948	H	II-ECSA	East-Central-South-African (ECSA)	
MK244642	H	II-ECSA	East/Central/South African	
MT933039	H	II-ECSA	ECSA	South American Lineage
MT933029	H	II-ECSA	ECSA	South American Lineage
OP312967	H	II-ECSA	East-Central-South-African (ECSA)	
OP312950	H	II-ECSA	East-Central-South-African (ECSA)	
OP312941	H	II-ECSA	East-Central-South-African (ECSA)	
OQ148637	H	II-ECSA	ECSA	
PP337013	H	II-ECSA	East-Central-South-African	
PP337021	H	II-ECSA	East-Central-South-African	
PP337020	H	II-ECSA	East-Central-South-African	
PP337019	H	II-ECSA	East-Central-South-African	
PP337012	H	II-ECSA	East-Central-South-African	
PP336991	H	II-ECSA	East-Central-South-African	
PP336987	H	II-ECSA	East-Central-South-African	
PP336972	H	II-ECSA	East-Central-South-African	
PP336970	H	II-ECSA	East-Central-South-African	
PP336971	H	II-ECSA	East-Central-South-African	
PP336969	H	II-ECSA	East-Central-South-African	
PP336968	H	II-ECSA	East-Central-South-African	
PP336967	H	II-ECSA	East-Central-South-African	
PP336966	H	II-ECSA	East-Central-South-African	
MT349960	H	II-ECSA	East-Central-South-Africa ECSA	South American Lineage
MN428521	H	II-ECSA	East/Central/South African	South American Lineage
MN428519	H	II-ECSA	East/Central/South African	South American Lineage
MN428523	H	II-ECSA	East/Central/South African	South American Lineage
MN428515	H	II-ECSA	East/Central/South African	South American Lineage
MN428520	H	II-ECSA	East/Central/South African	South American Lineage
MN428516	H	II-ECSA	East/Central/South African	South American Lineage
MN428526	H	II-ECSA	East/Central/South African	South American Lineage
MN428517	H	II-ECSA	East/Central/South African	South American Lineage
MN428524	H	II-ECSA	East/Central/South African	South American Lineage
MN428522	H	II-ECSA	East/Central/South African	South American Lineage
MN428512	H	II-ECSA	East/Central/South African	South American Lineage
MN428513	H	II-ECSA	East/Central/South African	South American Lineage
MN428510	H	II-ECSA	East/Central/South African	South American Lineage
MN428507	H	II-ECSA	East/Central/South African	South American Lineage
MN428508	H	II-ECSA	East/Central/South African	South American Lineage
MN428505	H	II-ECSA	East/Central/South African	South American Lineage
MN428525	H	II-ECSA	East/Central/South African	South American Lineage
MN428527	H	II-ECSA	East/Central/South African	South American Lineage
MN428518	H	II-ECSA	East/Central/South African	South American Lineage
MN428511	H	II-ECSA	East/Central/South African	South American Lineage
MN428509	H	II-ECSA	East/Central/South African	South American Lineage
MN428506	H	II-ECSA	East/Central/South African	South American Lineage
MN428504	H	II-ECSA	East/Central/South African	South American Lineage
MW507591	H	II-ECSA	ECSA	
MZ703086	H	II-ECSA	ECSA	South American Lineage
MZ703085	H	II-ECSA	ECSA	South American Lineage
OK562602	H	II-ECSA	ECSA	South American Lineage
MW507590	H	II-ECSA	ECSA	
OK562601	H	II-ECSA	ECSA	South American Lineage
OK562600	H	II-ECSA	ECSA	South American Lineage
OK562603	H	II-ECSA	ECSA	
OK562599	H	II-ECSA	ECSA	South American Lineage
OM416224	H	II-ECSA	ECSA	
OQ148635	H	II-ECSA	ECSA	
OQ148636	H	II-ECSA	ECSA	
OQ148634	H	II-ECSA	ECSA	
KY704942	H	II-ECSA	ECSA	South American Lineage
KY704952	H	II-ECSA	ECSA	South American Lineage
KY704939	H	II-ECSA	ECSA	South American Lineage
KY704943	H	II-ECSA	ECSA	South American Lineage
KY704947	H	II-ECSA	ECSA	South American Lineage
KY704933	H	II-ECSA	ECSA	
MH823666	H	II-ECSA		South American Lineage
MH823664	H	II-ECSA		South American Lineage
MH823668	H	II-ECSA		South American Lineage
MH823667	H	II-ECSA		South American Lineage
MH823665	H	II-ECSA		South American Lineage
MH823663	H	II-ECSA		South American Lineage
MW507586	H	II-ECSA	ECSA	
MW507585	H	II-ECSA	ECSA	
OP615963	H	II-ECSA	Brazilian	
MT526900	H	II-ECSA	ECSA	South American Lineage
OM416235	H	II-ECSA	ECSA	
OM416234	H	II-ECSA	ECSA	
OM416228	H	II-ECSA	ECSA	
OM416229	H	II-ECSA	ECSA	
OM416227	H	II-ECSA	ECSA	
OM416226	H	II-ECSA	ECSA	
OM416225	H	II-ECSA	ECSA	
OM416219	H	II-ECSA	ECSA	
MK518395	H	II-ECSA	ECSA	South American Lineage
OM416218	H	II-ECSA	ECSA	
MK121895	H	II-ECSA		
OQ148658	H	II-ECSA	Asian	
PP337018	H	II-ECSA	East-Central-South-African	
PP337017	H	II-ECSA	East-Central-South-African	
MT526903	H	II-ECSA	ECSA	South American Lineage
MT526902	H	II-ECSA	ECSA	South American Lineage
MT526904	H	II-ECSA	ECSA	South American Lineage
MT526901	H	II-ECSA	ECSA	South American Lineage
OM416230	H	II-ECSA	ECSA	
OM416233	H	II-ECSA	ECSA	
OM416221	H	II-ECSA	ECSA	
OM416220	H	II-ECSA	ECSA	
OM416217	H	II-ECSA	ECSA	
OM416232	H	II-ECSA	ECSA	
OM416236	H	II-ECSA	ECSA	
OM416231	H	II-ECSA	ECSA	
OM416223	H	II-ECSA	ECSA	
OM416222	H	II-ECSA	ECSA	
OM416216	H	II-ECSA	ECSA	
PP337016	H	II-ECSA	East-Central-South-African	
PP337009	H	II-ECSA	East-Central-South-African	
KY055011	H	II-ECSA	East-Central-South-Africa - ECSA	South American Lineage
KY124329	H	II-ECSA		South American Lineage
KY124328	H	II-ECSA		South American Lineage
MK244640	H	II-ECSA	East/Central/South African	
MK244636	H	II-ECSA	East/Central/South African	
MK244634	H	II-ECSA	East/Central/South African	
MK244638	H	II-ECSA	East/Central/South African	
MK244633	H	II-ECSA	East/Central/South African	
OM128439	H	II-ECSA		South American Lineage
OM128438	H	II-ECSA		South American Lineage
OP312954	H	II-ECSA	East-Central-South-African (ECSA)	
OP312969	H	II-ECSA	East-Central-South-African (ECSA)	
OP312965	H	II-ECSA	East-Central-South-African (ECSA)	
OP312960	H	II-ECSA	East-Central-South-African (ECSA)	
OP312964	H	II-ECSA	East-Central-South-African (ECSA)	
OP312944	H	II-ECSA	East-Central-South-African (ECSA)	
OP312943	H	II-ECSA	East-Central-South-African (ECSA)	
OP312937	H	II-ECSA	East-Central-South-African (ECSA)	
PP337010	H	II-ECSA	East-Central-South-African	
PP337001	H	II-ECSA	East-Central-South-African	
PP336996	H	II-ECSA	East-Central-South-African	
PP336985	H	II-ECSA	East-Central-South-African	
OP312953	H	II-ECSA	East-Central-South-African (ECSA)	
OP312946	H	II-ECSA	East-Central-South-African (ECSA)	
OP312956	H	II-ECSA	East-Central-South-African (ECSA)	
OP312942	H	II-ECSA	East-Central-South-African (ECSA)	
OP312938	H	II-ECSA	East-Central-South-African (ECSA)	
MK156060	H	II-ECSA	ECSA	
MK156058	H	II-ECSA	ECSA	
MK156063	H	II-ECSA	ECSA	
MK156062	H	II-ECSA	ECSA	
MK156061	H	II-ECSA	ECSA	
MK156057	H	II-ECSA	ECSA	
MK156064	H	II-ECSA	ECSA	
MK156055	H	II-ECSA	ECSA	
MK156054	H	II-ECSA	ECSA	
OQ759839	H	II-ECSA	East-Central-South-African	
OP312966	H	II-ECSA	East-Central-South-African (ECSA)	
OP312962	H	II-ECSA	East-Central-South-African (ECSA)	
OP312963	H	II-ECSA	East-Central-South-African (ECSA)	
OP312961	H	II-ECSA	East-Central-South-African (ECSA)	
OP312958	H	II-ECSA	East-Central-South-African (ECSA)	
OM128432	H	II-ECSA		South American Lineage
ON142070	H	II-ECSA		
OP312947	H	II-ECSA	East-Central-South-African (ECSA)	
OP312936	H	II-ECSA	East-Central-South-African (ECSA)	
MK244647	H	II-ECSA	East/Central/South African	
OP312957	H	II-ECSA	East-Central-South-African (ECSA)	
OP312951	H	II-ECSA	East-Central-South-African (ECSA)	
OM128440	H	II-ECSA		South American Lineage
OM128435	H	II-ECSA		South American Lineage
OM128431	H	II-ECSA		South American Lineage
ON142080	H	II-ECSA		
ON142085	H	II-ECSA		
ON142074	H	II-ECSA		
ON142073	H	II-ECSA		
PP336998	H	II-ECSA	East-Central-South-African	
OQ616994	H	II-ECSA	ECSA	
OQ616995	H	II-ECSA	ECSA	
OQ616984	H	II-ECSA	ECSA	
PP337006	H	II-ECSA	East-Central-South-African	
PP336994	H	II-ECSA	East-Central-South-African	
OQ759841	H	II-ECSA	East-Central-South-African	
OQ759837	H	II-ECSA	East-Central-South-African	
OQ759684	H	II-ECSA	East-Central-South-African	
OQ760073	H	II-ECSA	East-Central-South-African	
OQ760075	H	II-ECSA	East-Central-South-African	
OQ760069	H	II-ECSA	East-Central-South-African	
OQ760059	H	II-ECSA	East-Central-South-African	
OQ760070	H	II-ECSA	East-Central-South-African	
OQ760074	H	II-ECSA	East-Central-South-African	
OQ760076	H	II-ECSA	East-Central-South-African	
OQ760033	H	II-ECSA	East-Central-South-African	
OQ760071	H	II-ECSA	East-Central-South-African	
OQ759708	H	II-ECSA	East-Central-South-African	
OQ759976	H	II-ECSA	East-Central-South-African	
OQ759986	H	II-ECSA	East-Central-South-African	
OQ759979	H	II-ECSA	East-Central-South-African	
OQ759987	H	II-ECSA	East-Central-South-African	
OQ759985	H	II-ECSA	East-Central-South-African	
OQ760026	H	II-ECSA	East-Central-South-African	
OQ759984	H	II-ECSA	East-Central-South-African	
OQ759983	H	II-ECSA	East-Central-South-African	
OQ759981	H	II-ECSA	East-Central-South-African	
OQ759982	H	II-ECSA	East-Central-South-African	
OQ759980	H	II-ECSA	East-Central-South-African	
OQ759977	H	II-ECSA	East-Central-South-African	
OQ759975	H	II-ECSA	East-Central-South-African	
OQ759978	H	II-ECSA	East-Central-South-African	
OQ759974	H	II-ECSA	East-Central-South-African	
OL898673	H	II-ECSA		South American Lineage
OL898668	H	II-ECSA		South American Lineage
OL898676	H	II-ECSA		South American Lineage
